id,additions_api,deletions_api,changed_files_api,n_comments,dir_count_api
2544789845,10426,163947,18,1,12
2285313969,28,1,2,0,2
2395686298,10,8,4,5,3
2600573974,2,2,1,2,1
2272445401,58,10,5,0,4
2607093477,187,66,4,3,4
2494587655,3,3,3,1,3
2565794665,1924,4267,49,29,27
2591480120,4,5,3,3,3
2547273074,1,1,1,2,1
2599776648,264,147,18,4,12
2311342022,58,1,4,1,4
2301608484,195,143,3,0,2
2593393529,234,68,5,5,3
2392368251,1,3,2,0,2
2365158528,171,35,3,0,3
2386818820,120,103,7,0,7
2323647370,3,3,2,0,2
2269372748,99,76,8,0,7
2562013252,2,2,2,3,2
2417643339,3,1,2,0,2
2576301351,55,27,5,1,2
2532302604,7,4,5,1,5
2444638585,567,188,19,2,17
2550355951,31,190,8,2,6
2466762712,281,52,12,5,11
2497387255,0,13,5,0,3
2523782699,31,8,2,3,1
2530007715,1,1,1,1,1
2591851235,9277,0,27,1,4
2597293511,691,25,23,0,18
2622886159,177,4,3,20,2
2576026392,521,27,6,1,5
2541207266,301,1,13,0,8
2581738136,15,54,5,0,3
2608978890,35,76,6,0,2
2579634046,1,1,1,0,1
2299270151,109,32,4,2,2
2316753434,232,23,15,29,8
2463457386,258,243,9,6,7
2305744987,3,3,22,3,8
2616605346,3,0,1,6,1
2436378991,7,7,3,4,3
2545253049,0,30,6,7,1
2418440768,681,3,17,19,14
2280804050,6,20,6,2,2
2447443387,432,8,4,16,3
2438962368,156,575,4,3,4
2311691455,31,0,2,2,1
2413248152,44,0,3,7,3
2281002212,5,5,1,1,1
2600453169,29,17,7,3,3
2316419136,19,5,1,2,1
2283452100,17,0,4,3,1
2296267961,5,0,1,1,1
2518960791,789,33,12,7,4
2427550885,39,37,2,7,2
2470705622,75,75,3,2,3
2519784541,78,77,2,2,2
2536104473,40,21,4,8,4
2408867024,55,16,5,8,2
2463084844,507,49,10,26,10
2424745334,535,578,3,8,3
2462699992,280,73,15,10,10
2291057107,13,3,1,1,1
2436364208,75,75,5,3,5
2393268832,16,0,3,7,3
2435895059,223,141,7,5,2
2438851786,49,116,3,7,3
2469920799,602,53,6,26,4
2522659296,6,6,2,3,2
2485740356,10,10,2,4,2
2572896050,353,257,4,6,3
2381201630,707,349,5,7,4
2267412012,12,5,6,1,4
2312168692,7,0,2,2,2
2572347625,266,295,4,5,4
2397097396,213,27,5,12,5
2457057045,824,0,14,13,9
2459535058,1,1,1,7,1
2603629991,420,0,6,13,3
2524928685,14,13,2,2,2
2403398301,3,0,1,8,1
2281631686,4,4,2,1,2
2481413158,3,1,2,7,2
2509293532,19,24,40,4,16
2468905411,27,25,2,2,1
2438323962,1,1,1,2,1
2426965457,75,20,15,8,9
2418258739,25,1,6,10,2
2470284233,12,10,2,2,2
2620341799,344,26,30,15,16
2447531022,363,10,13,9,8
2610638983,262,15,8,16,5
2598350832,50,27,2,6,2
2453062844,23,16,2,6,2
2512692029,40,40,2,2,1
2606660709,5,0,1,5,1
2392826430,27,6,2,6,2
2412817940,702,7,3,14,1
2283645764,170,20,11,1,7
2572985494,82,35,6,12,6
2433810197,27,16,5,11,3
2341034658,0,3,1,6,1
2611004920,411,35,11,16,8
2438773745,2,0,1,5,1
2594636668,47,41,5,5,4
2541805091,38,38,2,2,1
